query_id,dataset,task_type,q_Qwen2.5-3B,c_Qwen2.5-3B,t_Qwen2.5-3B,q_Qwen2.5-7B,c_Qwen2.5-7B,t_Qwen2.5-7B,q_Qwen2.5-14B,c_Qwen2.5-14B,t_Qwen2.5-14B,q_DS-R1-Distill-14B,c_DS-R1-Distill-14B,t_DS-R1-Distill-14B
gsm8k_test_0079,gsm8k,math,1.0,8.372e-05,3438.5,1.0,8.547e-05,4809.7,1.0,0.00025172,5194.9,1.0,0.00158914,59053.4
gsm8k_test_0080,gsm8k,math,1.0,4.926e-05,1904.7,1.0,5.222e-05,2762.9,1.0,0.0001792,3500.7,1.0,0.00044464,16064.9
gsm8k_test_0081,gsm8k,math,1.0,5.574e-05,2223.3,1.0,6.699e-05,3728.0,1.0,0.00028308,6062.0,1.0,0.00065898,23367.6
gsm8k_test_0082,gsm8k,math,1.0,6.048e-05,2372.8,1.0,7.679e-05,4219.9,1.0,0.00020496,4073.7,1.0,0.00037226,13683.4
gsm8k_test_0083,gsm8k,math,1.0,4.708e-05,1843.4,1.0,8.12e-05,4624.2,1.0,0.00019684,4075.6,1.0,0.00052892,19264.7
gsm8k_test_0084,gsm8k,math,1.0,4.038e-05,1545.3,1.0,5.67e-05,3112.6,1.0,0.0001512,2994.8,1.0,0.00047824,17946.0
gsm8k_test_0085,gsm8k,math,1.0,6.058e-05,2437.6,1.0,7.238e-05,4123.0,1.0,0.0002422,5196.5,1.0,0.00036288,14410.7
gsm8k_test_0086,gsm8k,math,0.0,6.148e-05,2335.8,1.0,6.951e-05,3693.9,1.0,0.00019068,3608.4,1.0,0.00028994,11270.4
gsm8k_test_0087,gsm8k,math,1.0,5.914e-05,2225.8,0.0,7.322e-05,3910.6,1.0,0.00019544,3683.9,1.0,0.00075208,27465.3
gsm8k_test_0088,gsm8k,math,0.0,0.000107,4307.6,0.0,0.00012887,7382.9,0.0,0.0002954,6026.2,1.0,0.00111706,40563.8
gsm8k_test_0089,gsm8k,math,1.0,4.856e-05,1880.6,1.0,5.754e-05,3164.3,1.0,0.00019208,3893.3,1.0,0.00033712,12294.9
gsm8k_test_0090,gsm8k,math,0.0,5.202e-05,1998.9,0.0,8.736e-05,4970.3,0.0,0.00024528,5040.0,1.0,0.00046844,17087.8
gsm8k_test_0091,gsm8k,math,1.0,7.332e-05,2826.8,1.0,8.652e-05,4750.7,1.0,0.00027216,5445.4,1.0,0.00036652,13199.4
gsm8k_test_0092,gsm8k,math,1.0,5.866e-05,2329.3,1.0,7.91e-05,4508.9,1.0,0.00019768,3996.0,1.0,0.00030072,11357.5
gsm8k_test_0093,gsm8k,math,1.0,9.036e-05,3663.8,1.0,9.527e-05,5438.3,1.0,0.00029932,6279.9,1.0,0.00044058,15789.2
gsm8k_test_0094,gsm8k,math,0.0,0.0001425,5848.4,1.0,5.95e-05,3088.3,1.0,0.000364,7603.5,1.0,0.00045696,16018.9
gsm8k_test_0095,gsm8k,math,1.0,8.442e-05,3403.2,1.0,7.175e-05,3981.4,1.0,0.00028,5865.8,1.0,0.00057498,20953.3
gsm8k_test_0096,gsm8k,math,1.0,5.528e-05,2167.5,1.0,0.00010164,5859.3,1.0,0.00030268,6466.3,1.0,0.00054572,20072.5
gsm8k_test_0097,gsm8k,math,1.0,4.478e-05,1735.7,1.0,6.874e-05,3868.8,1.0,0.00016464,3307.4,1.0,0.00034832,12904.1
gsm8k_test_0098,gsm8k,math,1.0,6.59e-05,2594.4,1.0,8.652e-05,4871.3,1.0,0.00025984,5441.4,1.0,0.00042196,15559.3
gsm8k_test_0099,gsm8k,math,0.0,6.666e-05,2522.8,1.0,8.666e-05,4697.2,1.0,0.00032368,6644.7,1.0,0.00073248,27058.6
gsm8k_test_0100,gsm8k,math,0.0,7.462e-05,2917.6,1.0,0.000112,6299.9,1.0,0.00032732,6798.9,1.0,0.00030884,11516.0
mbpp_0001,mbpp,code,1.0,7.218e-05,2898.2,1.0,0.00010045,5756.4,1.0,0.00032536,7045.0,1.0,0.0021791,85307.3
mbpp_0002,mbpp,code,1.0,9.898e-05,3796.3,1.0,0.000105,5611.3,1.0,0.000357,7144.5,1.0,0.00059668,21582.6
mbpp_0003,mbpp,code,1.0,4.364e-05,1692.0,1.0,4.319e-05,2288.4,1.0,0.00019908,4117.5,1.0,0.00044562,16416.0
mbpp_0004,mbpp,code,1.0,8.386e-05,3369.7,1.0,9.695e-05,5520.5,1.0,0.00030576,6476.8,1.0,0.00198786,77118.5
mbpp_0005,mbpp,code,1.0,7.646e-05,2974.7,1.0,8.652e-05,4729.7,1.0,0.0003276,6903.8,1.0,0.00061516,22245.3
mbpp_0006,mbpp,code,1.0,8.5e-05,3485.5,1.0,7.812e-05,4440.9,1.0,0.0002702,5830.6,1.0,0.00282492,114768.3
mbpp_0007,mbpp,code,1.0,0.00014716,6213.0,1.0,0.00018886,11382.7,1.0,0.0003556,7908.2,1.0,0.00518728,225348.9
mbpp_0008,mbpp,code,1.0,6.326e-05,2462.3,1.0,7.434e-05,4096.4,1.0,0.00029372,6244.0,1.0,0.00059472,22248.3
mbpp_0009,mbpp,code,0.0,0.00019228,7855.4,1.0,0.00022197,12964.6,1.0,0.00056952,12124.2,0.0,0.00785806,360047.2
mbpp_0010,mbpp,code,0.0,0.00017044,6176.5,0.0,0.00025963,14131.7,0.0,0.0006832,13091.0,1.0,0.0063917,286111.8
mbpp_0011,mbpp,code,1.0,5.182e-05,2007.4,1.0,5.768e-05,3136.8,1.0,0.00019936,4064.9,1.0,0.00031948,13574.2
mbpp_0012,mbpp,code,1.0,8.692e-05,3353.3,1.0,9.296e-05,5090.3,1.0,0.00032676,6645.7,1.0,0.00118916,52637.5
mbpp_0013,mbpp,code,0.0,0.00012542,4807.2,0.0,0.00013132,7083.7,0.0,0.00045472,9056.6,0.0,0.0057274,267725.9
mbpp_0014,mbpp,code,1.0,6.406e-05,2539.7,1.0,4.949e-05,2639.6,1.0,0.00022904,4704.2,1.0,0.00055678,23798.9
mbpp_0015,mbpp,code,1.0,6.438e-05,2600.0,1.0,4.774e-05,2578.6,1.0,0.00019684,4099.6,1.0,0.0003556,16755.2
mbpp_0016,mbpp,code,1.0,8.392e-05,3416.4,1.0,8.876e-05,5118.7,1.0,0.0003024,6524.6,1.0,0.00585004,270124.2
mbpp_0017,mbpp,code,1.0,0.0001059,4424.7,1.0,0.00014028,8410.3,1.0,0.00039368,8736.5,1.0,0.00210476,104012.7
mbpp_0018,mbpp,code,0.0,9.948e-05,3745.8,0.0,0.0001197,6464.1,1.0,0.00037912,7457.9,1.0,0.00174832,78926.1
mbpp_0019,mbpp,code,0.0,8.464e-05,3398.2,0.0,0.00013797,8127.2,1.0,0.00055328,12397.7,1.0,0.00150262,66423.9
mbpp_0020,mbpp,code,1.0,7.316e-05,2863.4,1.0,8.743e-05,4888.8,1.0,0.00022876,4510.8,1.0,0.0006013,25497.0
