dataset,model_count,seed,split_seed,policy,point,quality,mean_cost,total_cost,normalized_cost,auc,sample_count
gsm8k,11,0,42,Routing,26,0.6796058208533484,0.0042465875015541,30.05734633599992,0.4971259964443911,0.6702733894517676,7078
gsm8k,11,0,42,Routing,27,0.6806654422153151,0.004608898680983318,32.62178486399992,0.5395398890183171,0.6702733894517676,7078
gsm8k,11,0,42,Routing,28,0.6806654422153151,0.004608898680983318,32.62178486399992,0.5395398890183171,0.6702733894517676,7078
gsm8k,11,0,42,Routing,29,0.6806654422153151,0.004608898680983318,32.62178486399992,0.5395398890183171,0.6702733894517676,7078
gsm8k,11,0,42,Cascade,0,0.41703164735801074,9.730981915795276e-05,0.6887588999999896,0.011391556348483847,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,1,0.4253320146934162,0.00010321966657247586,0.7305887999999842,0.012083391565279433,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,2,0.436705283978525,0.0001122318310257095,0.7943768999999719,0.01313839896411318,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,3,0.4464184797965527,0.00012152841198078028,0.8601780999999629,0.014226701529202015,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,4,0.4600875953659226,0.00013199372704152983,0.9342515999999481,0.015451821740613094,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,5,0.46443204294998586,0.00013661814128284043,0.9669832039999446,0.015993177955889913,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,6,0.4737213902232269,0.00014447449844587966,1.0225904999999362,0.016912880983713924,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,7,0.47534614297824246,0.00015015059338795343,1.0627658999999343,0.01757735200967506,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,8,0.48431760384289346,0.00016220229895449635,1.148067871999925,0.01898818273821403,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,9,0.48845012715456343,0.0001684463351229047,1.1922631599999196,0.01971913970093265,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,10,0.48845012715456343,0.0001684463351229047,1.1922631599999196,0.01971913970093265,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,11,0.5197089573325798,0.0002177168782141683,1.5410000639998833,0.02548698690074589,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,12,0.542808703023453,0.00027803635094657416,1.967941291999852,0.0325482750470807,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,13,0.5598686069511162,0.0002967811500423558,2.1006169799997942,0.03474263155692069,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,14,0.5711712348120939,0.0003699624622774525,2.6185943079998086,0.043309588614244166,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,15,0.580213337100876,0.0004206277140434857,2.977202959999792,0.049240707132366696,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,16,0.5937411698219837,0.000487817098615396,3.452769423999773,0.05710622026345666,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,17,0.6005933879627013,0.00053235666685501,3.768020487999761,0.06232023674945111,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,18,0.6058208533484035,0.0005672338824526354,4.014881419999753,0.06640313167410064,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,19,0.6097061316756146,0.0005852589765470116,4.142463035999748,0.06851323604835206,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,20,0.6097061316756146,0.0005852589765470116,4.142463035999748,0.06851323604835206,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,21,0.6499011020062164,0.001217930288216961,8.62051057999965,0.1425767885173878,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,22,0.6672082509183385,0.0017485932020344164,12.376542683999599,0.20469874637438307,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,23,0.678051709522464,0.0023226543322971967,16.439747363999558,0.27190110857637206,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,24,0.6862107940096073,0.0029498696705283307,20.879177527999524,0.3453259585033425,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,25,0.6943698784967505,0.0037111160830742423,26.267279635999486,0.4344411318603287,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,26,0.6986083639446171,0.004316193990957821,30.55002106799946,0.5052744675146699,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,27,0.7007982480926815,0.005410222803616759,38.293557003999425,0.6333467522451532,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,28,0.7014340209098615,0.005677510659508254,40.18542044799942,0.664636756666095,0.6796620592921434,7078
gsm8k,11,0,42,Cascade,29,0.7019638315908449,0.00645189815654131,45.66653515199939,0.7552902886975794,0.6796620592921434,7078
