task_id,node_type,candidate,selected,eligible,Q,C_tokens,L_seconds,score,actual_shadow_tokens,actual_shadow_latency_s,actual_shadow_node_accuracy,actual_status,score_margin_to_selected
87db6a9c0c874dc4ba00221006d105b1,extraction,large,True,True,0.7165048543689321,3379.114563106796,40.174203113390824,0.34667811064663817,,,,not_sampled_or_unavailable,0.0
87db6a9c0c874dc4ba00221006d105b1,extraction,coder,False,True,0.6815533980582524,3415.166990291262,37.47220451596358,0.3234340259638714,,,,not_sampled_or_unavailable,0.023244084682766786
87db6a9c0c874dc4ba00221006d105b1,extraction,reasoning,False,False,0.7203883495145631,5501.877669902913,136.5508042487535,-0.23745955522435008,,,,not_sampled_or_unavailable,0.5841376658709883
87db6a9c0c874dc4ba00221006d105b1,extraction,small,False,False,,,,,,,,not_sampled_or_unavailable,
87db6a9c0c874dc4ba00221006d105b1,semantic,medium,False,True,0.6873786407766991,597.4330097087379,6.337476451906387,0.6258196080317302,,,,not_sampled_or_unavailable,0.025224677565216846
87db6a9c0c874dc4ba00221006d105b1,semantic,large,True,True,0.7165048543689321,598.1145631067961,7.110968123329063,0.651044285596947,,,,not_sampled_or_unavailable,0.0
87db6a9c0c874dc4ba00221006d105b1,semantic,coder,False,True,0.6815533980582524,634.1669902912622,6.958264478727756,0.6150537261500505,,,,not_sampled_or_unavailable,0.03599055944689655
87db6a9c0c874dc4ba00221006d105b1,semantic,reasoning,False,False,0.7203883495145631,2720.8776699029127,67.52931569528579,0.2466978875429885,,,,not_sampled_or_unavailable,0.40434639805395856
87db6a9c0c874dc4ba00221006d105b1,semantic,small,False,False,,,,,,,,not_sampled_or_unavailable,
3bc3ca75a68849c88d84e9771a9a93a5,extraction,medium,False,True,0.6873786407766991,3929.4330097087377,41.68281424642637,0.2824929190591303,,,,not_sampled_or_unavailable,0.0038810699055156217
3bc3ca75a68849c88d84e9771a9a93a5,extraction,large,True,True,0.7165048543689321,3930.114563106796,46.72502744978925,0.28637398896464594,,,,not_sampled_or_unavailable,0.0
3bc3ca75a68849c88d84e9771a9a93a5,extraction,coder,False,True,0.6815533980582524,3966.166990291262,43.51793661251768,0.2656553654811009,,,,not_sampled_or_unavailable,0.02071862348354503
3bc3ca75a68849c88d84e9771a9a93a5,extraction,reasoning,False,False,0.7203883495145631,6052.877669902913,150.22604344075665,-0.3333857511843659,,,,not_sampled_or_unavailable,0.6197597401490118
3bc3ca75a68849c88d84e9771a9a93a5,extraction,small,False,False,,,,,,,,not_sampled_or_unavailable,
3bc3ca75a68849c88d84e9771a9a93a5,semantic,medium,False,True,0.6873786407766991,601.4330097087379,6.379907829810972,0.6254074511422073,,,,not_sampled_or_unavailable,0.025199054986993707
3bc3ca75a68849c88d84e9771a9a93a5,semantic,large,True,True,0.7165048543689321,602.1145631067961,7.158524016878235,0.650606506129201,,,,not_sampled_or_unavailable,0.0
3bc3ca75a68849c88d84e9771a9a93a5,semantic,coder,False,True,0.6815533980582524,638.1669902912622,7.002153640953194,0.6146342803389233,,,,not_sampled_or_unavailable,0.0359722257902777
3bc3ca75a68849c88d84e9771a9a93a5,semantic,reasoning,False,False,0.7203883495145631,2724.8776699029127,67.62859147889381,0.2460015086249484,,,,not_sampled_or_unavailable,0.4046049975042526
3bc3ca75a68849c88d84e9771a9a93a5,semantic,small,False,False,,,,,,,,not_sampled_or_unavailable,
5b517a2f25604d1da72d9b9ab5d7f7f2,extraction,medium,False,True,0.6873786407766991,3467.4330097087377,36.781990098446705,0.33009703979902866,,,,not_sampled_or_unavailable,0.00684047769026408
5b517a2f25604d1da72d9b9ab5d7f7f2,extraction,large,True,True,0.7165048543689321,3468.114563106796,41.232321744859895,0.33693751748929274,,,,not_sampled_or_unavailable,0.0
5b517a2f25604d1da72d9b9ab5d7f7f2,extraction,coder,False,True,0.6815533980582524,3504.166990291262,38.44873837547958,0.31410135666629146,,,,not_sampled_or_unavailable,0.022836160823001272
5b517a2f25604d1da72d9b9ab5d7f7f2,extraction,reasoning,False,False,0.7203883495145631,5590.877669902913,138.7596904340317,-0.25295398615074116,,,,not_sampled_or_unavailable,0.5898915036400338
